xe,y
0,0.000378459989808607
0.122085215480405,0.000907823245055124
0.244170430960811,0.00125136111806699
0.366255646441216,0.000171558502354517
0.488340861921621,-0.000391341466452893
0.610426077402027,-6.25289983157673e-05
0.732511292882432,-0.000144782173835927
0.854596508362837,-0.000723692071047315
0.976681723843243,-0.00171778511688737
1.09876693932365,-0.00258398560637759
1.22085215480405,-0.00233592803936507
1.34293737028446,-0.00197621661703361
1.46502258576486,-0.00237252089771079
1.58710780124527,-0.00254070587321503
1.70919301672567,-0.00247600506362366
1.83127823220608,-0.002423959346859
1.95336344768649,-0.00222533546324186
2.07544866316689,-0.00293664162719188
2.1975338786473,-0.00353137043015573
2.3196190941277,-0.00181551528723563
2.44170430960811,-0.000315772319347361
2.56378952508851,-0.00127497607112001
2.68587474056892,-0.00204656067655042
2.80795995604932,-0.00194979615550207
2.93004517152973,-0.00244061590915114
3.05213038701013,-0.00239455324266674
3.17421560249054,-0.00183281755445865
3.29630081797094,-0.00235503627945797
3.41838603345135,-0.00311572128424025
3.54047124893175,-0.00333281391325115
3.66255646441216,-0.00355427399881705
3.78464167989257,-0.00340877303675497
3.90672689537297,-0.00301757422109735
4.02881211085338,-0.00320325705105171
4.15089732633378,-0.00391802871325782
4.27298254181419,-0.00510192410485629
4.39506775729459,-0.0063107384358454
4.517152972775,-0.00648897965517823
4.6392381882554,-0.00569053042336406
4.76132340373581,-0.00465004536799357
4.88340861921621,-0.0041989918711134
5.00549383469662,-0.00480723599062667
5.12757905017702,-0.00486956666543882
5.24966426565743,-0.00348612872551364
5.37174948113783,-0.00294735100484958
5.49383469661824,-0.00382580056181605
5.61591991209864,-0.00395018281107881
5.73800512757905,-0.00345604098377671
5.86009034305946,-0.00367949824941714
5.98217555853986,-0.00385445460974492
6.10426077402027,-0.00316828241446601
6.22634598950067,-0.00242749379164364
6.34843120498108,-0.00259243354706292
6.47051642046148,-0.00310192260276
6.59260163594189,-0.00267292687488943
6.71468685142229,-0.00222664045838974
6.8367720669027,-0.00332837364152918
6.9588572823831,-0.00433427768468626
7.08094249786351,-0.00362369347454027
7.20302771334391,-0.0027794017315099
7.32511292882432,-0.00274232949852989
7.44719814430473,-0.00297097218406361
7.56928335978513,-0.00401355679980126
7.69136857526554,-0.00576318354120426
7.81345379074594,-0.00679216102552513
7.93553900622635,-0.00695358855834611
8.05762422170675,-0.0069246616093299
8.17970943718716,-0.00690718381114259
8.30179465266756,-0.00724096727781768
8.42387986814797,-0.00778414067406306
8.54596508362837,-0.00759172120090334
8.66805029910878,-0.00668100114076531
8.79013551458918,-0.00622868889849742
8.91222073006959,-0.00645482592566218
9.03430594554999,-0.00617468930081405
9.1563911610304,-0.00507164668505231
9.2784763765108,-0.00435554312487701
9.40056159199121,-0.00439895539549999
9.52264680747162,-0.00435939958208932
9.64473202295202,-0.00404223308111123
9.76681723843243,-0.00367878409668999
9.88890245391283,-0.00341253451445806
10.0109876693932,-0.00363398375306444
10.1330728848736,-0.00393740147697224
10.255158100354,-0.00360140085486827
10.3772433158345,-0.00322796351977954
10.4993285313149,-0.00329173071820011
10.6214137467953,-0.00357344428826899
10.7434989622757,-0.00446004133944108
10.8655841777561,-0.00550373204955466
10.9876693932365,-0.00576077330077348
11.1097546087169,-0.00630144733796525
11.2318398241973,-0.00766944843286386
11.3539250396777,-0.00823210233677411
11.4760102551581,-0.00782909482852141
11.5980954706385,-0.00763117706091067
11.7201806861189,-0.00745454824847762
11.8422659015993,-0.00696965150231144
11.9643511170797,-0.00657062768687876
12.0864363325601,-0.0065892446700112
12.2085215480405,-0.0068738138726198
12.3306067635209,-0.00657100827212307
12.4526919790013,-0.00591904841086797
12.5747771944817,-0.00605878118050008
12.6968624099622,-0.00596589139717911
12.8189476254426,-0.00513280849099561
12.941032840923,-0.00546636783573087
13.0631180564034,-0.00608777203556084
13.1852032718838,-0.00524615931829083
13.3072884873642,-0.00505871781479776
13.4293737028446,-0.00589831041414805
13.551458918325,-0.0057595385421697
13.6735441338054,-0.00598129922685259
13.7956293492858,-0.00696401394563936
13.9177145647662,-0.00656422915023597
14.0397997802466,-0.00601737100635498
14.161884995727,-0.00638524958447507
14.2839702112074,-0.00573208432745671
14.4060554266878,-0.00473608933695054
14.5281406421682,-0.00467971651472715
14.6502258576486,-0.00448211285864367
14.772311073129,-0.00484983127513459
14.8943962886095,-0.00622753864990893
15.0164815040899,-0.0064390112531727
15.1385667195703,-0.00563078133972358
15.2606519350507,-0.00539713217078901
15.3827371505311,-0.00535096340620108
15.5048223660115,-0.00546645765315495
15.6269075814919,-0.00582732417866703
15.7489927969723,-0.00570793484287152
15.8710780124527,-0.00570009678023117
15.9931632279331,-0.00584211647466801
16.1152484434135,-0.00481312879622915
16.2373336588939,-0.00364327227128122
16.3594188743743,-0.00417765823137192
16.4815040898547,-0.00537056391267716
16.6035893053351,-0.00544405761171649
16.7256745208155,-0.00469512114857612
16.8477597362959,-0.00460168882535195
16.9698449517763,-0.00541156825481839
17.0919301672567,-0.0058266120241554
17.2140153827372,-0.00565391224678645
17.3361005982176,-0.00596558873717892
17.458185813698,-0.00668304388938047
17.5802710291784,-0.00729438951829868
17.7023562446588,-0.00796057552014847
17.8244414601392,-0.00849418470673518
17.9465266756196,-0.00860950919480652
18.0686118911,-0.00854688732490621
18.1906971065804,-0.00887957374188572
18.3127823220608,-0.00997850203270242
18.4348675375412,-0.0109337599699301
18.5569527530216,-0.0108817848489689
18.679037968502,-0.0106273568330257
18.8011231839824,-0.0104552216327144
18.9232083994628,-0.00999246656189509
19.0452936149432,-0.00998811140729029
19.1673788304236,-0.0102766278400618
19.289464045904,-0.0100982968636195
19.4115492613844,-0.0104832201312213
19.5336344768649,-0.0114554124720909
19.6557196923453,-0.0118234173919701
19.7778049078257,-0.0125850608424154
19.8998901233061,-0.0140278744736395
20.0219753387865,-0.014134360435162
20.1440605542669,-0.0131239042737603
20.2661457697473,-0.0125416475873081
20.3882309852277,-0.0117086925365436
20.5103162007081,-0.0101773018647536
20.6324014161885,-0.00905833003408246
20.7544866316689,-0.0084687949591788
20.8765718471493,-0.00774898474769347
20.9986570626297,-0.00717516650594391
21.1207422781101,-0.00691205450711479
21.2428274935905,-0.00614940488976147
21.3649127090709,-0.00510880503617247
21.4869979245513,-0.00510797941998342
21.6090831400317,-0.00530690382213363
21.7311683555121,-0.00385333052487877
21.8532535709926,-0.00198738373884256
21.975338786473,-0.0018429920284719
